id,Age,Gender,Education Level,Job Title,Years of Experience,Salary
38,26,Female,Bachelor's,Customer Success Rep,1.0,40000.0
39,49,Male,Bachelor's,Sales Executive,21.0,160000.0
40,34,Female,Master's,UX Designer,5.0,80000.0
41,48,Male,Master's,Operations Director,18.0,190000.0
42,30,Male,Bachelor's,Network Engineer,3.0,60000.0
43,36,Female,Bachelor's,Administrative Assistant,8.0,45000.0
44,41,Male,Master's,Strategy Consultant,13.0,130000.0
45,28,Female,Bachelor's,Copywriter,2.0,40000.0
46,32,Male,Bachelor's,Account Manager,5.0,75000.0
47,45,Female,Master's,Director of Marketing,16.0,180000.0
48,38,Male,PhD,Senior Scientist,11.0,120000.0
49,25,Male,Bachelor's,Help Desk Analyst,0.0,35000.0
50,51,Female,Bachelor's,Customer Service Manager,22.0,130000.0
51,33,Male,Master's,Business Intelligence Analyst,7.0,85000.0
52,40,Female,Bachelor's,Event Coordinator,12.0,60000.0
53,47,Male,Master's,VP of Finance,19.0,200000.0
54,29,Female,Bachelor's,Graphic Designer,3.0,50000.0
55,36,Male,Bachelor's,Sales Manager,9.0,95000.0
56,27,Female,Master's,UX Researcher,2.0,65000.0
57,43,Male,PhD,Senior Engineer,17.0,140000.0
58,30,Female,Bachelor's,Social Media Manager,4.0,55000.0
59,35,Male,Master's,Product Manager,7.0,105000.0
60,51,Female,Master's,Director of Operations,23.0,170000.0
61,29,Male,Bachelor's,Marketing Analyst,3.0,50000.0
62,40,Female,Bachelor's,HR Manager,12.0,80000.0
63,47,Male,PhD,Senior Data Scientist,21.0,180000.0
64,26,Male,Bachelor's,Junior Accountant,1.0,35000.0
65,38,Female,Master's,Digital Marketing Manager,10.0,90000.0
66,46,Male,Bachelor's,IT Manager,19.0,120000.0
67,31,Female,Bachelor's,Customer Service Representative,5.0,45000.0
68,34,Male,Master's,Business Development Manager,8.0,90000.0
69,49,Female,Master's,Senior Financial Analyst,18.0,150000.0
70,33,Male,Bachelor's,Web Developer,6.0,65000.0
71,39,Female,Bachelor's,Recruiter,11.0,70000.0
72,45,Male,PhD,Research Director,16.0,190000.0
73,28,Male,Bachelor's,Technical Support Specialist,2.0,40000.0
74,42,Female,Master's,Creative Director,14.0,120000.0
75,37,Male,Bachelor's,Project Manager,10.0,95000.0
76,50,Female,Bachelor's,Operations Manager,22.0,160000.0
77,32,Male,Master's,Senior Software Engineer,6.0,100000.0
78,48,Female,Master's,Human Resources Director,20.0,180000.0
79,30,Female,Bachelor's,Content Marketing Manager,3.0,55000.0
80,36,Male,Bachelor's,Technical Recruiter,8.0,70000.0
81,41,Female,Master's,Data Analyst,13.0,80000.0
82,25,Male,Bachelor's,Sales Representative,0.0,30000.0
83,52,Male,PhD,Chief Technology Officer,24.0,250000.0
84,29,Female,Bachelor's,Junior Designer,2.0,40000.0
85,34,Female,Master's,Financial Advisor,10.0,95000.0
86,27,Male,Bachelor's,Junior Account Manager,2.0,45000.0
87,40,Female,Bachelor's,HR Generalist,15.0,80000.0
88,46,Male,Master's,Senior Project Manager,21.0,135000.0
89,31,Female,Bachelor's,Marketing Coordinator,6.0,55000.0
90,36,Male,PhD,Principal Scientist,11.0,120000.0
91,29,Female,Bachelor's,Sales Associate,3.0,40000.0
92,43,Male,Bachelor's,Supply Chain Manager,18.0,105000.0
93,52,Female,Master's,Senior Marketing Manager,25.0,170000.0
94,33,Male,Bachelor's,Business Analyst,7.0,75000.0
95,39,Female,Bachelor's,Training Specialist,12.0,65000.0
96,47,Male,PhD,Research Scientist,22.0,160000.0
97,26,Male,Bachelor's,Junior Software Developer,1.0,35000.0
98,38,Female,Master's,Public Relations Manager,10.0,90000.0
99,45,Male,Bachelor's,Operations Analyst,20.0,110000.0
100,31,Female,Bachelor's,Event Coordinator,5.0,45000.0
101,35,Male,Master's,Product Marketing Manager,8.0,95000.0
102,49,Female,Master's,Senior HR Manager,19.0,150000.0
103,33,Male,Bachelor's,Junior Web Developer,5.0,50000.0
104,39,Female,Master's,Senior Project Coordinator,13.0,80000.0
105,44,Male,PhD,Chief Data Officer,16.0,220000.0
106,30,Female,Bachelor's,Digital Content Producer,3.0,50000.0
107,36,Male,Bachelor's,IT Support Specialist,7.0,60000.0
108,41,Female,Master's,Senior Marketing Analyst,14.0,100000.0
109,28,Male,Bachelor's,Customer Success Manager,2.0,40000.0
110,42,Female,Master's,Senior Graphic Designer,15.0,110000.0
111,37,Male,Bachelor's,Software Project Manager,9.0,95000.0
112,50,Female,Bachelor's,Supply Chain Analyst,22.0,130000.0
113,32,Male,Master's,Senior Business Analyst,6.0,90000.0
114,23,Female,Bachelor's,Junior Marketing Analyst,0.5,35000.0
115,31,Male,Master's,Senior Financial Analyst,6.0,95000.0
116,40,Female,Bachelor's,Office Manager,15.0,65000.0
117,48,Male,PhD,Principal Engineer,20.0,170000.0
118,29,Female,Bachelor's,Junior HR Generalist,3.0,45000.0
119,35,Male,Master's,Senior Product Manager,10.0,120000.0
120,42,Female,Bachelor's,Sales Manager,17.0,100000.0
121,53,Male,Master's,Director of Marketing,25.0,180000.0
122,33,Female,Bachelor's,Junior Operations Analyst,5.0,50000.0
123,38,Male,Bachelor's,Customer Service Manager,11.0,80000.0
124,44,Female,PhD,Senior Scientist,16.0,140000.0
125,26,Male,Bachelor's,Junior Accountant,2.0,40000.0
126,37,Female,Master's,Senior HR Generalist,9.0,95000.0
127,45,Male,Bachelor's,Sales Operations Manager,18.0,110000.0
128,32,Female,Bachelor's,Marketing Coordinator,4.0,50000.0
129,34,Male,Master's,Senior Software Developer,8.0,105000.0
130,50,Female,Master's,Director of Operations,21.0,160000.0
131,29,Male,Bachelor's,Junior Web Designer,3.0,45000.0
132,40,Female,Master's,Senior Training Specialist,12.0,100000.0
133,47,Male,PhD,Senior Research Scientist,22.0,160000.0
134,27,Male,Bachelor's,Junior Sales Representative,1.0,35000.0
135,39,Female,Bachelor's,Administrative Assistant,10.0,55000.0
136,46,Male,Master's,Senior Project Manager,19.0,140000.0
137,30,Female,Bachelor's,Junior Marketing Manager,4.0,50000.0
138,36,Male,Bachelor's,Junior Data Analyst,7.0,60000.0
139,43,Female,Master's,Senior Product Marketing Manager,14.0,120000.0
140,28,Male,Bachelor's,Junior Business Analyst,2.0,40000.0
141,41,Female,Master's,Senior Marketing Manager,13.0,110000.0
142,33,Male,Bachelor's,Junior Software Developer,5.0,50000.0
143,47,Male,Bachelor's,Senior Sales Manager,20.0,135000.0
144,25,Female,Master's,Junior Marketing Specialist,1.5,40000.0
145,34,Male,Bachelor's,Senior Business Analyst,8.0,90000.0
146,42,Female,PhD,Senior Data Scientist,16.0,150000.0
147,31,Male,Bachelor's,Junior Project Manager,4.0,60000.0
148,38,Female,Bachelor's,Senior Accountant,10.0,80000.0
149,45,Male,Master's,Director of Sales,19.0,175000.0
150,29,Female,Bachelor's,Junior Recruiter,3.0,45000.0
151,36,Male,Master's,Senior Business Development Manager,11.0,120000.0
152,43,Female,PhD,Senior Product Designer,18.0,140000.0
153,26,Male,Bachelor's,Junior Customer Support Specialist,2.0,35000.0
154,37,Female,Master's,Senior Marketing Analyst,9.0,95000.0
155,44,Male,Bachelor's,Senior IT Support Specialist,14.0,110000.0
156,32,Female,Bachelor's,Junior Financial Analyst,5.0,50000.0
157,33,Male,Master's,Senior Operations Manager,7.0,115000.0
158,51,Female,PhD,Director of Human Resources,23.0,185000.0
159,28,Male,Bachelor's,Junior Software Engineer,2.0,40000.0
160,39,Female,Bachelor's,Senior Sales Representative,12.0,90000.0
161,48,Male,Master's,Director of Product Management,21.0,175000.0
162,30,Female,Bachelor's,Junior Copywriter,3.0,45000.0
163,35,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0
164,41,Female,Master's,Senior Human Resources Manager,13.0,120000.0
165,27,Male,Bachelor's,Junior Business Development Associate,1.5,35000.0
166,40,Female,Bachelor's,Senior Account Manager,14.0,110000.0
167,46,Male,PhD,Senior Researcher,18.0,150000.0
168,31,Female,Bachelor's,Junior HR Coordinator,4.0,50000.0
169,34,Male,Master's,Senior Software Engineer,9.0,105000.0
170,50,Female,Master's,Director of Finance,20.0,180000.0
171,29,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
173,43,Male,Bachelor's,Senior Project Manager,16.0,140000.0
174,26,Female,Master's,Junior Data Scientist,1.5,45000.0
175,35,Male,Bachelor's,Senior Operations Analyst,7.0,85000.0
176,42,Female,PhD,Senior Marketing Manager,18.0,140000.0
177,31,Male,Bachelor's,Junior Accountant,4.0,50000.0
178,38,Female,Bachelor's,Senior Human Resources Coordinator,10.0,80000.0
179,46,Male,Master's,Director of Operations,20.0,170000.0
180,29,Female,Bachelor's,Junior Sales Representative,2.0,40000.0
181,37,Male,Master's,Senior Business Analyst,9.0,105000.0
182,44,Female,PhD,Senior UX Designer,15.0,145000.0
183,27,Male,Bachelor's,Junior Product Manager,2.0,40000.0
184,36,Female,Bachelor's,Senior Marketing Specialist,8.0,85000.0
185,43,Male,Bachelor's,Senior IT Project Manager,14.0,130000.0
186,33,Female,Master's,Senior Financial Analyst,6.0,95000.0
187,34,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,100000.0
188,50,Female,PhD,Director of Sales and Marketing,22.0,180000.0
189,28,Male,Bachelor's,Junior Operations Analyst,1.5,35000.0
190,39,Female,Bachelor's,Senior Account Executive,12.0,95000.0
191,47,Male,Master's,Director of Business Development,19.0,170000.0
192,30,Female,Bachelor's,Junior Social Media Manager,3.0,45000.0
193,34,Male,Bachelor's,Senior Product Manager,7.0,95000.0
194,40,Female,Master's,Senior Human Resources Specialist,13.0,120000.0
195,28,Male,Bachelor's,Junior Business Analyst,2.0,40000.0
196,41,Female,Bachelor's,Senior Marketing Coordinator,11.0,90000.0
197,45,Male,PhD,Senior Data Analyst,17.0,155000.0
198,32,Female,Bachelor's,Junior Account Manager,5.0,55000.0
199,35,Male,Master's,Senior Software Developer,9.0,110000.0
200,49,Female,Master's,Director of Human Capital,21.0,180000.0
201,30,Male,Bachelor's,Junior Advertising Coordinator,3.0,45000.0
202,44,Male,Bachelor's,Senior Sales Manager,16.0,130000.0
203,27,Female,Master's,Junior UX Designer,1.5,45000.0
204,36,Male,Bachelor's,Senior Accountant,7.0,90000.0
205,41,Female,PhD,Senior Marketing Director,17.0,160000.0
206,31,Male,Bachelor's,Junior HR Generalist,4.0,50000.0
207,39,Female,Bachelor's,Senior Operations Manager,10.0,120000.0
208,47,Male,Master's,Director of Finance,20.0,170000.0
209,30,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
210,38,Male,Master's,Senior IT Consultant,9.0,110000.0
211,45,Female,PhD,Senior Product Designer,15.0,150000.0
212,28,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0
213,35,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
214,44,Male,Bachelor's,Senior Software Engineer,14.0,130000.0
215,34,Female,Master's,Senior Financial Advisor,6.0,100000.0
216,35,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0
217,50,Female,PhD,Director of Operations,22.0,180000.0
218,29,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000.0
219,40,Male,Bachelor's,Senior Sales Representative,12.0,100000.0
220,48,Male,Master's,Director of Marketing,19.0,170000.0
221,30,Female,Bachelor's,Junior Social Media Specialist,3.0,45000.0
222,33,Male,Bachelor's,Senior Product Development Manager,7.0,100000.0
223,42,Female,Master's,Senior Human Resources Manager,13.0,140000.0
224,28,Male,Bachelor's,Junior Financial Analyst,2.0,40000.0
225,40,Male,Bachelor's,Senior Marketing Manager,11.0,105000.0
226,46,Male,PhD,Senior Data Scientist,18.0,160000.0
227,33,Female,Bachelor's,Junior Operations Manager,5.0,70000.0
228,37,Male,Master's,Senior Software Architect,9.0,120000.0
229,51,Female,Master's,Director of Human Resources,21.0,190000.0
230,30,Male,Bachelor's,Junior Marketing Specialist,3.0,45000.0
231,43,Male,Bachelor's,Senior Project Manager,15.0,120000.0
232,27,Female,Master's,Junior Research Scientist,1.5,50000.0
233,35,Male,Bachelor's,Senior Operations Analyst,8.0,85000.0
234,42,Female,PhD,Senior Marketing Manager,13.0,140000.0
235,32,Male,Bachelor's,Junior Sales Representative,3.0,45000.0
236,37,Female,Bachelor's,Senior Financial Analyst,9.0,100000.0
237,45,Male,Master's,Senior Software Developer,16.0,140000.0
238,33,Female,Bachelor's,Junior Operations Analyst,5.0,70000.0
239,39,Male,Bachelor's,Senior Marketing Specialist,10.0,120000.0
240,44,Female,PhD,Senior HR Manager,18.0,160000.0
241,29,Male,Bachelor's,Junior Business Analyst,1.5,40000.0
242,38,Female,Bachelor's,Senior Product Manager,10.0,120000.0
243,46,Male,PhD,Senior Data Analyst,19.0,150000.0
244,34,Female,Bachelor's,Junior Marketing Analyst,6.0,70000.0
245,36,Male,Bachelor's,Senior Operations Manager,8.0,95000.0
246,49,Female,Master's,Director of Marketing,21.0,180000.0
247,31,Male,Bachelor's,Junior Financial Analyst,3.0,50000.0
248,41,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0
249,47,Male,Master's,Director of Operations,20.0,170000.0
250,30,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
251,38,Male,Master's,Senior IT Consultant,9.0,110000.0
252,45,Female,PhD,Senior Product Designer,15.0,150000.0
253,28,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0
254,35,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
255,44,Male,Bachelor's,Senior Software Engineer,14.0,130000.0
256,34,Female,Master's,Senior Financial Advisor,6.0,100000.0
257,35,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0
258,50,Female,PhD,Director of Operations,22.0,180000.0
259,29,Male,Bachelor's,Junior Business Operations Analyst,1.5,350.0
261,37,Female,Bachelor's,Senior Financial Manager,10.0,120000.0
262,46,Male,PhD,Senior Data Scientist,18.0,160000.0
263,31,Female,Bachelor's,Junior Marketing Coordinator,3.0,50000.0
264,42,Male,Bachelor's,Senior Operations Manager,12.0,110000.0
265,29,Female,Bachelor's,Junior Sales Representative,1.5,40000.0
266,36,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0
267,44,Female,Master's,Senior HR Specialist,15.0,140000.0
268,33,Male,Bachelor's,Junior Operations Manager,4.0,60000.0
269,39,Female,Bachelor's,Senior Marketing Coordinator,9.0,110000.0
270,45,Male,PhD,Senior Data Engineer,16.0,150000.0
271,32,Female,Bachelor's,Junior Marketing Manager,4.0,60000.0
272,37,Male,Bachelor's,Senior Financial Analyst,8.0,90000.0
273,47,Female,Master's,Director of Marketing,20.0,180000.0
274,30,Male,Bachelor's,Junior Business Analyst,2.0,40000.0
275,38,Female,Bachelor's,Senior Project Manager,9.0,120000.0
276,46,Male,PhD,Senior Data Analyst,17.0,160000.0
277,34,Female,Bachelor's,Junior Financial Analyst,5.0,70000.0
278,36,Male,Bachelor's,Senior Product Manager,8.0,95000.0
279,49,Female,Master's,Director of Operations,21.0,180000.0
280,31,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0
281,41,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0
282,47,Male,Master's,Director of Marketing,19.0,170000.0
283,29,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0
284,35,Male,Bachelor's,Senior Financial Manager,9.0,100000.0
285,44,Female,PhD,Senior Product Designer,15.0,150000.0
286,33,Male,Bachelor's,Junior Business Analyst,4.0,60000.0
287,30,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
288,44,Male,Bachelor's,Senior Software Engineer,13.0,130000.0
289,32,Male,Bachelor's,Junior Product Manager,4.0,65000.0
290,38,Female,Bachelor's,Senior Business Analyst,10.0,110000.0
291,49,Male,PhD,Director of Operations,21.0,180000.0
292,29,Female,Bachelor's,Junior Marketing Specialist,2.0,40000.0
293,35,Male,Bachelor's,Senior Business Development Manager,7.0,90000.0
294,45,Female,Master's,Senior HR Manager,14.0,140000.0
295,33,Male,Bachelor's,Junior Financial Analyst,4.0,60000.0
296,40,Female,Bachelor's,Senior Marketing Manager,12.0,130000.0
297,44,Male,PhD,Senior Data Scientist,16.0,160000.0
298,30,Female,Bachelor's,Junior Operations Coordinator,2.0,40000.0
299,37,Male,Bachelor's,Senior Marketing Analyst,9.0,100000.0
300,48,Female,Master's,Director of HR,20.0,180000.0
301,31,Male,Bachelor's,Junior Project Manager,3.0,55000.0
302,38,Female,Bachelor's,Senior Operations Coordinator,9.0,120000.0
303,45,Male,PhD,Senior Data Engineer,16.0,150000.0
304,33,Female,Bachelor's,Junior Marketing Manager,5.0,70000.0
305,36,Male,Bachelor's,Senior Business Analyst,8.0,95000.0
306,49,Female,Master's,Director of Marketing,21.0,180000.0
307,31,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0
308,42,Female,Bachelor's,Senior Project Manager,12.0,120000.0
309,47,Male,Master's,Director of Marketing,19.0,170000.0
310,29,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0
311,35,Male,Bachelor's,Senior Financial Manager,9.0,100000.0
312,44,Female,PhD,Senior Product Designer,15.0,150000.0
313,33,Male,Bachelor's,Junior Business Analyst,4.0,60000.0
314,35,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
315,30,Male,Bachelor's,Senior Software Engineer,13.0,130000.0
316,34,Female,Master's,Senior Financial Advisor,6.0,80000.0
317,36,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0
318,30,Female,Bachelor's,Junior HR Coordinator,2.0,40000.0
319,37,Male,Bachelor's,Senior Business Development Manager,10.0,120000.0
320,45,Female,Master's,Senior Marketing Manager,16.0,160000.0
321,32,Male,Bachelor's,Junior Financial Advisor,4.0,65000.0
322,39,Female,Bachelor's,Senior Project Manager,12.0,130000.0
323,47,Male,PhD,Director of Engineering,20.0,180000.0
324,29,Female,Bachelor's,Junior Marketing Analyst,2.0,40000.0
325,36,Male,Bachelor's,Senior Operations Manager,9.0,100000.0
326,43,Female,PhD,Senior Data Scientist,15.0,150000.0
327,32,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0
328,38,Female,Bachelor's,Senior Business Analyst,10.0,110000.0
329,48,Male,Master's,Director of Marketing,21.0,180000.0
330,31,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0
331,40,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0
332,45,Female,PhD,Senior UX Designer,16.0,160000.0
333,33,Male,Bachelor's,Junior Product Manager,4.0,60000.0
334,36,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0
335,47,Male,Master's,Director of Operations,19.0,170000.0
336,29,Female,Bachelor's,Junior Project Manager,2.0,40000.0
337,34,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0
338,44,Female,PhD,Senior Business Analyst,15.0,150000.0
339,33,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0
340,35,Female,Bachelor's,Senior Financial Manager,8.0,90000.0
341,43,Male,Master's,Director of Marketing,18.0,170000.0
342,31,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0
343,41,Male,Bachelor's,Senior Product Manager,14.0,150000.0
344,44,Female,PhD,Senior Data Engineer,16.0,160000.0
345,33,Male,Bachelor's,Junior Business Analyst,4.0,60000.0
346,35,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
347,45,Male,Master's,Director of Engineering,19.0,180000.0
348,28,Female,Bachelor's,Junior Operations Manager,1.0,35000.0
349,36,Male,Bachelor's,Senior Business Development Manager,8.0,110000.0
350,44,Female,PhD,Senior Data Scientist,16.0,160000.0
351,31,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0
352,38,Female,Bachelor's,Senior Business Analyst,10.0,110000.0
353,48,Male,Master's,Director of Marketing,21.0,180000.0
354,31,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0
355,40,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0
356,45,Female,PhD,Senior UX Designer,16.0,160000.0
357,33,Male,Bachelor's,Junior Product Manager,4.0,60000.0
358,36,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0
359,47,Male,Master's,Director of Operations,19.0,170000.0
360,29,Female,Bachelor's,Junior Project Manager,2.0,40000.0
361,34,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0
362,44,Female,PhD,Senior Business Analyst,15.0,150000.0
363,33,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0
364,35,Female,Bachelor's,Senior Financial Manager,8.0,90000.0
365,43,Male,Master's,Director of Marketing,18.0,170000.0
366,31,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0
367,41,Male,Bachelor's,Senior Product Manager,14.0,150000.0
368,44,Female,PhD,Senior Data Engineer,16.0,160000.0
369,33,Male,Bachelor's,Junior Business Analyst,4.0,60000.0
370,35,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
371,43,Male,Master's,Director of Operations,19.0,170000.0
372,29,Female,Bachelor's,Junior Project Manager,2.0,40000.0
373,34,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0
374,44,Female,PhD,Senior Business Analyst,15.0,150000.0
